tweet, t/f
Why does every pop song sound the same nowadays? Feels like I'm in a loop!, T
Why do I get so emotional during movie soundtracks? Somebody help!, T
Watching old cartoons hits different. Totally reliving my childhood!, T
Quick shoutout to those behind the scenes in movies they deserve ALL the recognition!,  T
NHL playoffs are heating up whoâ€™s ready for the madness?., T
When you see your favorite band is reuniting for a world tour! ğŸ¥³ @mention, T
My favorite Lakers vs. Celtics matchup is coming soon I can hardly wait! ğŸ€ğŸ’šâ¤ï¸ https://t.co/twitter_link, T
This is why I donâ€™t watch NHL highlights my heart canâ€™t take it. #GoAvsGo https://t.co/twitter_link, T
Okay but seriously we need to protect this popcorn movie experience at all costs!, T
What just happened?! That was a major plot twist in the last movie I watched. #mindblown, T
Iâ€™m definitely having a breakdown thinking about all these movie remakes... just stop it., T
Random tweet: Have you ever watched a movie and felt like the character was speaking directly to you?, T
Warriors just crushed another game playoffs are around the corner! ğŸ€ğŸ”¥, T
NHL drama is hitting different this season. Can't wait for the playoffs! @mention, T
Why canâ€™t every NHL game be as exciting as last night? Pure adrenaline!, T
The Grammys this year were insane! So many surprises and powerful performances. https://t.co/twitter_link, T
Lebron's performance lately has been giving me all the feels. My heart can't take this! ğŸ’”, T